No.,Recipe_Name [string],IMG [url],Category [nominal],Ingredients,Kcal [int],Proteins in g [int],Fat in g [int],Carbohydrates [int],Fibre [int],Time in min [int],Veg [nominal]
19,Saucy Bean Baked Eggs,https://kelliesfoodtoglow.com/wp-content/uploads/2018/04/beans-and-eggs-feature.jpg,Breakfast,"2 x 400g cans cherry tomatoes, 400g can mixed bean salad drained, 200g baby spinach, 4 medium eggs, 50g thinly sliced smoked ham,  wholemeal rye bread",366,32,12,27,10,25,Non-Vegetarian
20,"Eggs Benedict with Easy Hollandaise Sauce","https://purewows3.imgix.net/images/articles/2019_01/Eggs_Benedict_Recipe_With_Easy_Hollandaise_Sauce.jpg?auto=format,compress&cs=strip",Breakfast,"2 egg yolks, 2 teaspoons lemon juice, 6 tablespoons butter melted and still warm, ¾ teaspoon salt, ¼ teaspoon freshly ground black pepper, pinch of cayenne pepper, eggs benedict, 4 English muffins, 8 slices thickly cut cooked ham, 8 poached eggs, 8 teaspoons butter",401,24,21,28,9,35,Non-Vegetarian
21,Curried Broccoli & Boiled Eggs on Toast,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQZRS4tMR4gpd2Z1vFu2gO_ySthJrN53ZRDaA&usqp=CAU,Breakfast,"½ tsp turmeric, 1 tsp garam masala, ½ tbsp rapeseed oil, 200g Tenderstem broccoli, 2 medium eggs, 2 slices wholemeal sourdough, 1 tbsp natural yogurt, 1 tbsp pomegranate seeds",258,17,10,22,7,25,Vegetarian
22,Mexican Beans & Avocado on Toast,https://cmx.weightwatchers.co.uk/assets-proxy/weight-watchers/image/upload/t_WINE_EXTRALARGE/bjukihmnjojfolpqe0bz.jpg,Breakfast,"270g cherry tomatoes, 1 red or white onion, ½ lime, 4 tbsp olive oil, 2 garlic cloves crushed, 1 tsp ground cumin, 2 tsp chipotle paste or 1 tsp chilli flakes, 2 x 400g cans black beans, small bunch coriander, 4 slices bread, 1 avocado finely sliced",368,12,19,30,13,30,Vegan
23,Pasta with salmon & peas,https://field-fare.com/wp-content/uploads/2018/08/a144d418942a0f9c7771e60a9c619516.jpg,Dinner,"240g wholewheat fusilli, knob of butter, 1 large shallot, 140g frozen peas, 2 skinless salmon fillets, 140g low-fat crème fraîche, ½ low-salt vegetable stock cube, small bunch of chives",463,25,19,44,7,20,Non-Vegetarian
24,Egg-fried rice,https://www.almanac.com/sites/default/files/styles/opengraph/public/recipe-egg_fried_rice.jpg?itok=rV7mycOL,Lunch,"250g long grain rice, 3 tbsp vegetable oil, 1 onion, finely chopped, 4 eggs, beaten, 2 spring onions, sliced, to serve",387,14,14,53,1,10,Vegetarian
25,"Sausage, bean & bacon bake",https://gimb18e.s3.amazonaws.com/wp-content/uploads/2018/04/bacsausbeans-header.jpg,Breakfast,"12 chipolatas, 200g pack smoked dry-cured bacon lardons, 4 tbsp sunflower oil, 680g bottle passata, 1 tbsp sweet smoked paprika, 3 tbsp tomato purée, 1 tbsp brown sugar, 100g brown sauce, 3 x 400g cans cannellini beans, 6 eggs, piles of hot buttered toast",524,31,30,31,10,70,Non-Vegetarian
26,Poached eggs with smoked salmon and bubble & squeak,https://i.pinimg.com/originals/ac/8d/58/ac8d5887ae70d230c16c009299f83ce5.jpg,Breakfast,"1 tbsp rapeseed oil, 140g white cabbage, 2 spring onions, 300g whole new potato, 1 tbsp snipped chives, 2 medium eggs, 75g smoked salmon",310,19,13,29,4,20,Non-Vegetarian
27,Smoky beans & baked eggs,https://www.mygfguide.com/wp-content/uploads/2020/06/one-pan-cover-web.jpg,Breakfast,"2 tbsp oil, 1 onion, 1 red pepper, 3 garlic cloves, 2 tsp smoked paprika, 1 tbsp ketchup, 400g can chopped tomatoes, 2 x 400g cans black or pinto beans, 4-6 eggs, handful of coriander",390,24,16,30,16,45,Vegetarian
28,"Raspberry, almond & oat breakfast cookies",https://i2.wp.com/www.everydayhealthyrecipes.com/wp-content/uploads/2020/08/Oatmeal-Raspberry-Cookies.jpg?fit=1200%2C1344&ssl=1,Breakfast,"2 ripe bananas, 150g porridge oats, 2 tbsp ground almonds, 1⁄2 tsp cinnamon, 100g raspberries (fresh or frozen)",86,2,3,13,2,25,Vegan
29,Cheesy French toast with ham & grilled vine tomatoes,https://144f2a3a2f948f23fc61-ca525f0a2beaec3e91ca498facd51f15.ssl.cf3.rackcdn.com/uploads/food_portal_data/image/image/4954/compressed_brunches-savoury-french-toast.jpg,Breakfast,"5 eggs, 4tbsp milk, 140g gruyere, 1tbsp chopped chives, 1 knob of butter, 1 large baguette, 250g cherry tomatoes, olive oil, 250g sliced ham, watercress",439,29,25,26,2,30,Non-Vegetarian
30,BBQ rainbow beef salad,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1275413.jpg&q=85,Lunch,"2x250g sirloin steaks, thumb-sized piece ginger, 1 garlic clove, 2 limes, 2tbsp sesame oil, 1tbsp low-salt soy sauce, 3 red bird's eye chillies, 4 little gem lettuces, 12 radishes, 3 carrots, 1/2 cucumber, 3 spring onions, 1 large ripe avocade",281,21,17,7,6,25,Non-Vegetarian
31,Fresh salmon with Thai noodle salad,https://keyassets-p2.timeincuk.net/wp/prod/wp-content/uploads/sites/53/2019/06/Spicy-Hot-smoked-Salmon-Noodles.jpg,Lunch,"2 skinless salmon fillets, 1 large orange, 125g french beans, 75 frozen peas, 75g vermicelli rice noodles, 2tbsp red curry paste, 1tsp fish sauce, 3 spring onions, half pack basil",517,36,22,39,8,20,Non-Vegetarian
32,Mexican penne with avocado,https://i.ytimg.com/vi/Z2nT9goMbyQ/maxresdefault.jpg,Lunch,"100g wholemeal penne, 1tsp rapeseed oil, 1 large onion, 1 orange pepper, 2 garlic cloves, 2tsp chili powder, 1tsp ground coriander, 1/2tsp cumin seeds, 400g chopped tomatoes, 196g sweetcorn in water, 1tsp vegetable bouillon powder, 1 avocado, 1/2 lime zest",495,15,15,65,18,30,Vegetarian
33,Lime prawn cocktail pitta salad,https://4.bp.blogspot.com/-sFrrd3NxH_A/Ung7MbzLFHI/AAAAAAAAcC4/ty5g3ygc8lY/w1200-h630-p-k-no-nu/shrimp+salad5.jpg,Lunch,"1/2 wholemeal pitta, 1/2tbsp rapeseed oil, 1tsp tabasco, 1tsp low-sugar, 1tbsp low-fat mayonnaise, 1tbsp fat-free natural yogurt, 1/2 lime, 60g cooked king prawns, 1 little gem lettuce, 1/4 small cucumber, 4 cherry tomatoes",345,19,16,26,7,25,Non-Vegetarian
34,Roasted cauli-broc bowl with tahini hummus,https://i2.wp.com/runningonrealfood.com/wp-content/uploads/2020/02/grain-free-keto-low-carb-cauliflower-buddha-bowl-5-1-220x300.jpg,Lunch,"400g pack cauliflower, 2tbsp olive oil, 250g quinoa, 2 cooked beetroots, baby spinach, 10 walnuts, 2tbsp tahini, 3tbsp hummus, 1 lemon",533,16,37,28,10,40,Vegan
35,3-veg mac 'n' cheese,https://scm-assets.constant.co/scm/unilever/f12105146129696d6a7e0ed521db2e48/83418f59-7920-4aab-8da9-a2e5315f0d8a.jpg,Dinner,"150g butternut squash, 300g penne, 40g butter, 1 small leek, 25g flour, 600ml milk, 100g frozen peas, 175g mature Cheddar cheese, 1 slice day-old brown bread",680,29,31,69,7,50,Vegetarian
36,Meatball & garlic bread traybake,https://realfood.tesco.com/media/images/1400x919-MeatballGarlicBreadBake-e8f99783-9c64-40a7-995e-c98314c6796a-0-1400x919.jpg,Dinner,"350g turkey thigh mince, 1tsp dried oregano, 1tsp fennel seeds, 1,5tbsp olive oil, 1 large onion, 3 garlic cloves, 1tbsp tomato purée, 2x400g chopped tomatoes, 2tsp sugar, 150g ball mozzarella, 4 garlic breadsticks, 25g cheddar, green salad or spaghetti",565,42,28,34,6,60,Non-Vegetarian
37,Pork & apple burgers,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/2263/burger__hero.jpg?1545336950,Dinner,"300g sausagemeat, 4 wholemeal burger buns, 4tsp onion marmalade, 2 apples, 2 handfuls rocket, 2tsp mayonnaise, English mustard, sweet potato wedges",364,15,18,32,5,25,Non-Vegetarian
38,Creamy courgette lasagne,https://lh3.googleusercontent.com/proxy/bmTUQRC1GE2jj5I0i_Yiic9-mz8u69mPcMpTkEfVr_wloYwR8z6TXAFffcMI3enNB8TR7xHLh594SdMlEYy0EkarnCgrCo6WsufXi9eTGbP_97DqiDVlyGPON8bcQVK2,Dinner,"9 dried lasagne sheets, 1tbsp sunflower oil, 1 onion, 700g courgette, 2 garlic cloves, 250g tub ricotta, 50g cheddar, 350g jar tomato sauce",405,18,21,38,4,30,Vegetarian
39,Easy chicken fajitas,https://www.spendwithpennies.com/wp-content/uploads/2018/07/Easy-Chicken-Fajitas-5-SpendWithPennies.jpg,Dinner,"2 large chicken breasts, 1 red onion, 1 red pepper, 1 red chili, 1 heaped tbsp smoked paprika, 1tbsp ground coriander, pinch of ground cumin, 2 medium garlic cloves, 4tbsp olive oil, 1 lime, 4-5 drops tabasco, 6 medium tortillas, bag mixed salad, 230g tub fresh salsa",723,39,26,77,11,25,Non-Vegetarian
40,Pepper & walnut hummus with veggie dippers,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQQ9LSBhUWG29k826bWtcHNa_Ol126FZNR_7A&usqp=CAU,Snacks,"400g can chickpeas, 1 garlic clove, 1 large roasted red pepper, 1tbsp tahini paste, juice 1/2 lemon, 4 walnut halves, 2 courgettes, 2 carrots, 2 celery sticks",296,14,14,30,12,15,Vegan
41,"Bacon, sundried tomato & feta rolls",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6870895.jpg&w=380&h=505&c=sc&poi=face&q=85,Snacks,"1 egg, 225g plain flour, 175g frozen butter, 10 streaky bacon rashers, 100g sundried tomato in oil, 100g feta cheese, small bunch fresh basil",99,2,7,6,1,55,Non-Vegetarian
42,"Rosemary, garlic & chilli popcorn",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSHbr6kiwRcCbJB7RltPtfXvNW3I2H44mnXVg&usqp=CAU,Snacks,"2tbsp rapeseed oil, 2 garlic cloves, 1tsp chipotle, 1/2 small bunch of rosemary, 150g popcorn kernels",187,4,7,23,5,20,Vegan
43,"Brie, courgette & red pepper muffins",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS8WHYtXUDxMGTSm80Qt_z7oQ3IgwtfHp1ydQ&usqp=CAU,Snacks,"knob of butter, 2 small courgettes, 250g self-raising flour, 1tsp baking powder, 1tbsp fresh oregano, 3 eggs, 100ml milk, 5tbsp sunflower oil, 2 red peppers, 85g cheddar, 100g brie",246,9,14,20,1,55,Vegetarian
44,Crispy chocolate fridge cake,https://cdn.shopify.com/s/files/1/1579/5061/files/baking1_large.jpg?v=1522500636,Snacks,"300g dark chocolate, 100g butter, 140g golden syrup, 1tsp vanilla extract, 200g biscuit, 100g sultana, 85g rice krispies, 100-140g mini eggs, 50g white chocolate",249,2,12,32,1,20,Vegetarian
45,Carrot cake porridge,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/carrot-cake-porridge-f232cf6.jpg?quality=90&webp=true&resize=300,272",Breakfast,"2 small carrots peeled and grated, 180g porridge oats, 1 tsp cinnamon, grating of fresh nutmeg, 75g raisins, 850ml milk (cow’s or plant milk work well), 1 tbsp nut butter such as almond (optional), honey to serve (optional)",519,17,16,73,8,20,Vegetarian
46,Pancetta & pepper piperade,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/pancetta-pepper-piperade-509e3b8.jpg?quality=90&webp=true&resize=300,272",Breakfast,"2 x 70g packs pancetta pieces, 1 red onion finely chopped, 3 peppers ,1 each of green red and yellow deseeded and finely diced, 400g can chopped tomatoes, 2 tbsp tomato purée, 4 medium eggs, small handful basil leaves shredded, crusty bread to serve (optional)",259,15,15,13,5,40,Non-Vegetarian
47,Shakshuka,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-12141_11-fd804a3.jpg?quality=90&webp=true&resize=300,272",Breakfast,"1 tbsp olive oil, 2 red onions chopped, 1 red chilli deseeded and finely chopped, 1 garlic clove sliced, small bunch coriander stalks and leaves chopped separately, 2 cans cherry tomatoes, 1 tsp caster sugar, 4 eggs",340,21,20,21,0,25,Vegetarian
48,Avocado on toast with chorizo & fried eggs,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/chorizo-b339764.jpg?quality=90&webp=true&resize=300,272",Breakfast,"1 tbsp pumpkin seed, 85g chorizo  sliced into chunks, 1 large ripe avocado stoned and peeled, juice ½ lime, ½ small pack coriander chopped, 2 eggs, 4 thick-cut slices wholemeal bread",522,23,37,25,4,20,Non-Vegetarian
49,Spinach baked eggs with parmesan & tomato toasts,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-981473_11-2fdd325.jpg?quality=90&webp=true&resize=300,272",Breakfast,"400g fresh spinach,100g Basil parmesan (or vegetarian alternative) & tomato butter, 4 eggs, 8-12 slices French stick",494,20,33,31,4,35,Vegetarian
50,Quinoa tabbouleh,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/tabouleh-dd2a8df.jpg?quality=90&webp=true&resize=300,272",Lunch,"100g dried quinoa, 75g parsley  roughly chopped, 300g tomatoes , 100g cucumber  cut into small dice ,1 tbsp olive oil, 2 tbsp balsamic vinegar juice and zest 0.5 lemon, drop of vanilla extract, 1 tsp rice syrup or agave, pinch of Himalayan pink salt, ½ garlic clove crushed, 50g salad leaves to serve",284,10,9,38,5,40,Vegetarian
51,Salmon pasta salad with lemon & capers,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/salmon-pasta-8e85b03.jpg?quality=90&webp=true&resize=300,272",Lunch,"85g wholewheat penne, 1 tbsp rapeseed oil, 1 large red pepper roughly chopped, 2 frozen skinless wild salmon fillets (about 120g each), 1 lemon zested and juiced, 2 garlic cloves finely grated, 1 shallot very finely chopped, 2 tbsp capers, 6 pitted Kalamata olives sliced, 1 tsp extra virgin olive oil, 2 handfuls rocket",475,35,22,31,8,30,Non-Vegetarian
52,Curried spinach & lentil soup,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/curried-spinach-lentil-soup-9b58496.jpg?quality=90&webp=true&resize=300,272",Lunch,"2 tbsp rapeseed oil, 1 onion  finely chopped, 2 large garlic cloves crushed, ¼ tsp hot chilli powder, 1 tsp cumin seeds, 1 tbsp medium curry powder, 160g dried brown lentils, 1.2l low-salt veg stock, large bunch coriander, 30g unsalted cashew nuts toasted, 2 lemons zested and juiced, 500g spinach",305,17,12,28,10,55,Vegetarian
53,Spicy tuna & cottage cheese jacket,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-1201572_10-246be42.jpg?quality=90&webp=true&resize=300,272",Lunch,"225g can tuna drained, ½ red chilli chopped, 1 spring onion sliced, handful halved cherry tomatoes, ½ small bunch coriander chopped, 1 medium-sized jacket potato, 150g low-fat cottage cheese",439,64,5,33,3,70,Non-Vegetarian
54,Red lentil & sweet potato pâté,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-871560_11-7d9ee9f.jpg?quality=90&webp=true&resize=300,272",Lunch,"1 tbsp olive oil plus extra for drizzling, ½ onion finely chopped, 1 tsp smoked paprika plus a little extra, 1 small sweet potato peeled and diced, 140g red lentil, 3 thyme sprigs, leaves chopped plus a little extra to decorate (optional), 500ml low-sodium vegetable stock (choose a vegan brand, if desired), 1 tsp red wine vinegar (choose a vegan brand if desired), pitta bread and vegetable sticks",200,9,5,28,3,30,Vegetarian
55,Meatball & tomato soup,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/meatball-tomato-soup-afa0bd0.jpg?quality=90&webp=true&resize=300,272",Dinner,"1½ tbsp rapeseed oil, 1 onion finely chopped, 2 red peppers deseeded and sliced, 1 garlic clove crushed, ½ tsp chilli flakes, 2 x 400g cans chopped tomatoes, 100g giant couscous,  500ml hot vegetable stock,  12 pork meatballs, 150g baby spinach,  ½ small bunch of basil, grated parmesan to serve (optional)",330,17,12,36,6,20,Non-Vegetarian
56,"Cheesy ham hock, spinach & ricotta lasagne","https://images.immediate.co.uk/production/volatile/sites/30/2020/08/cheesy_ham_hock_spinach_ricotta_lasagne-ba32dc8.jpg?quality=90&webp=true&resize=300,272",Dinner,"70g butter, 70g plain flour, 1l whole milk, 1 bay leaf, 80g grated parmesan or gruyère, 2 tsp Dijon mustard, pinch of cayenne pepper, 600g spinach, 250g ricotta, 1 whole nutmeg for grating, 300g ham hock shredded or thick-cut ham chopped, 12 dried lasagne sheets, 50g grated mozzarella",606,36,30,47,3,105,Non-Vegetarian
57,Chipotle chicken & slaw,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/hot-wings-and-slaw-1903ce0.jpg?quality=90&webp=true&resize=300,272",Dinner,"1 tbsp rapeseed oil, 2 tbsp chipotle paste, 1½ tbsp honey, 8 chicken drumsticks, 1 lime , zested and juiced, 1 small avocado stoned, 2 tbsp fat-free Greek yogurt, 125g each red and white cabbage both shredded, 1 large carrot cut into matchsticks, 3 spring onions sliced, 4 corn on the cobs",318,27,16,13,4,65,Non-Vegetarian
58,Broccoli pesto & pancetta pasta,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/broccoli-pesto-pancetta-pasta-75e3452.jpg?quality=90&webp=true&resize=300,272",Dinner,"300g head broccoli broken into florets, 300g pasta (we used orecchiette), 1 tbsp pine nuts, 1 large bunch of basil, 1 large garlic clove, 2 tbsp parmesan finely grated, 1 tbsp olive oil, 50g smoked pancetta diced, 200g cherry tomatoes halved",452,19,14,60,7,25,Non-Vegetarian
59,Mexican-style stuffed peppers,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/mexican-style-stuffed-peppers-23ce35d.jpg?quality=90&webp=true&resize=300,272",Dinner,"3 large mixed peppers halved, oil for drizzling, 2 x 250g pouches lime & coriander rice cooked, 400g can black beans drained and rinsed, 6 Mexican-style chilli cheese slices (use regular cheddar or monterey jack if you like), 150g fresh guacamole",468,19,15,59,14,50,Vegetarian
60,Baba ganoush,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/baba-ganoush-5159138.jpg?quality=90&webp=true&resize=300,272",Snacks,"2 medium aubergines, 40ml extra virgin olive oil, ¼ tsp ground coriander, ¼ tsp ground cumin, 2 tbsp tahini, 1 large lemon juiced, ½ small bunch parsley finely chopped, flatbreads or pitta bread to serve",167,3,15,3,4,50,Vegan
61,Fruity figgy flapjacks,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/flapjack-0cee4bf.jpg?quality=90&webp=true&resize=300,272",Snacks,"140g soft dried fig roughly chopped, 75g coconut oil, 6 tbsp clear honey or agave syrup, 300g rolled oats , 50g dried cranberries  roughly chopped, 50g sultana roughly chopped, 85g dried apricot roughly chopped, 75g mixed nut roughly chopped ",215,5,9,28,4,55,Non-Vegetarian
62,Lemony spiced hummus,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/houmous-1dcae0a.jpg?quality=90&webp=true&resize=300,272",Snacks,"2 x 200g tubs ready-made hummus, zest and juice 1 lemon finely grated, 1 tbsp olive oil plus extra to drizzle, 2 tbsp harissa, 4 tbsp toasted pine nuts, ½ small pack coriander or flat-leaf parsley roughly chopped, warm flatbread or toasted pitta, cucumber sticks and radishes to serve",219,7,18,8,2,5,Vegetarian
